,0,0
0,0.43166712,0.51409674
1,0.40798658,0.4700693
2,0.4103546,0.47815275
3,0.47034535,0.46468088
4,0.44745412,0.46602798
5,0.41666943,0.5001652
6,0.4450861,0.48713621
7,0.40246108,0.46962023
8,0.5848013,0.48578852
9,-0.5787026,0.46153796
10,0.31957918,0.56483316
11,0.34799585,0.44031066
12,0.4885004,0.4144217
13,0.42456296,0.4305699
14,0.4687666,0.5105011
15,0.5271786,0.4741108
16,0.512181,0.4992665
17,0.34168103,0.532484
18,-0.5787026,0.523986
19,-0.5787026,0.42698085
20,0.2874526,0.49467653
21,0.55480593,0.41025773
22,0.52323186,0.396173
23,0.5390189,0.5480356
24,0.56664616,0.5302536
25,0.43561387,0.53916085
26,0.40719718,0.5546687
27,0.48218557,0.48039848
28,0.42298424,0.46423194
29,-0.5787026,0.5069058
30,-0.5787026,0.4732127
31,0.23361886,0.47980043
32,0.40246108,0.45046902
33,0.5137597,0.36561322
34,-0.5787026,0.46153796
35,0.4253523,0.524885
36,0.3069496,0.44031066
37,-0.5787026,0.47455996
38,-0.5787026,0.4072468
39,0.35352132,0.4516415
40,0.3969356,0.39310622
41,-0.5787026,0.43371058
42,0.527968,0.45839524
43,0.3937782,0.4161084
44,0.38509536,0.5329298
45,0.47034535,0.45659953
46,-0.5787026,0.4516616
47,0.4056185,0.5001652
48,0.22825128,0.4317193
49,0.33536622,0.4633339
50,-0.5787026,0.36256754
51,0.5555953,0.42339218
52,0.49876192,0.35430378
53,0.41509074,0.5484785
54,0.48771104,0.51634413
55,0.43877128,0.46872216
56,0.43087775,0.51005167
57,0.43166712,0.48219502
58,0.4300884,0.47770366
59,-0.5787026,0.47815275
60,0.43166712,0.47725457
61,0.4332458,0.45476836
62,0.43166712,0.47815275
63,-0.5787026,0.47905105
64,-0.5787026,0.47815275
65,0.43087775,0.45555016
66,0.43087775,0.45476836
67,0.4285097,0.47770366
68,-0.5787026,0.47770366
69,-0.5787026,0.47635633
70,0.4285097,0.45437747
71,0.42929906,0.45320478
72,0.43245646,0.47635633
73,0.42929906,0.47680545
74,0.43166712,0.47860187
75,-0.5787026,0.47680545
76,0.4285097,0.47815275
77,0.426931,0.45359576
78,0.43087775,0.47635633
79,-0.5787026,0.47545812
80,-0.5787026,0.47770366
81,-0.5787026,0.45242321
82,0.42929906,0.45437747
83,-0.5787026,0.43238166
84,-0.5787026,0.47680545
85,0.4237736,0.41495302
86,0.4237736,0.45359576
87,0.43166712,0.47366178
88,0.43245646,0.47366178
89,-0.5787026,0.47815275
90,0.42772037,0.47860187
91,-0.5787026,0.45476836
92,0.42298424,0.47590724
93,0.4174588,0.43442154
94,0.4174588,0.4732127
95,-0.5787026,0.4700693
96,0.426931,0.4700693
97,0.43166712,0.44773355
98,0.42929906,0.47545812
99,-0.5787026,0.37404484
100,0.25347766,0.39241105
101,-1.098631,0.3913849
102,0.2762565,0.39193767
103,0.30075705,0.38226116
104,0.21521688,0.39868283
105,-1.098631,0.40593916
106,0.24705532,0.3806107
107,-1.098631,0.39489985
108,-1.098631,0.3900361
109,-1.098631,0.3853131
110,-1.098631,0.38109016
111,0.24268265,0.37698996
112,0.24459569,0.37332422
113,0.23257087,0.3887415
114,-1.098631,0.38930792
115,0.24787518,0.38574785
116,0.30786264,0.38045794
117,0.23243423,0.39027882
118,0.20278212,0.4080438
119,0.26870954,0.3857074
120,0.23120442,0.37693018
121,0.25074476,0.39644796
122,0.24623545,0.3853433
123,0.35883147,0.39112848
124,0.24678202,0.3897934
125,-1.098631,0.4231442
126,0.19335358,0.38995522
127,0.30308002,0.40984637
128,0.2639174,0.37413967
129,0.30745268,0.40662724
130,0.2747534,0.3950289
131,0.09565193,0.4079224
132,0.24418576,0.3982378
133,0.26189503,0.34523588
134,-1.098631,0.3891865
135,0.26589876,0.39443007
136,0.2600913,0.38035256
137,0.21234731,0.39561564
138,0.19909269,0.39389592
139,0.14019841,0.37976134
140,0.16124184,0.37583816
141,0.22286904,0.35841155
142,0.3122353,0.3646373
143,0.31114212,0.3828758
144,0.25711244,0.4093391
145,-1.098631,0.4090153
146,-1.098631,0.39301392
147,0.27419314,0.39757174
148,-1.098631,0.3836755
149,0.22710505,0.39807183
150,0.27110496,0.37556845
151,0.29037198,0.38412973
152,0.28217325,0.3971573
153,0.20633492,0.40286326
